score,frequency,class
-5.94046199255946,0.321278517799901,"deleterious"
-5.930283358708,0.326019942044978,"deleterious"
-5.92010472485654,0.330742301988167,"deleterious"
-5.90992609100507,0.335396751144364,"deleterious"
-5.89974745715361,0.340010957540595,"deleterious"
-5.88956882330215,0.344570099088135,"deleterious"
-5.87939018945068,0.349058977571612,"deleterious"
-5.86921155559922,0.353511166100444,"deleterious"
-5.85903292174776,0.357857721119499,"deleterious"
-5.84885428789629,0.362175038555009,"deleterious"
-5.83867565404483,0.366378961891623,"deleterious"
-5.82849702019337,0.370532012574477,"deleterious"
-5.8183183863419,0.374595048793014,"deleterious"
-5.80813975249044,0.378567712750855,"deleterious"
-5.79796111863898,0.38247906672286,"deleterious"
-5.78778248478751,0.386255771056641,"deleterious"
-5.77760385093605,0.389993766807464,"deleterious"
-5.76742521708459,0.393570819768934,"deleterious"
-5.75724658323312,0.397093355984435,"deleterious"
-5.74706794938166,0.400488647257113,"deleterious"
-5.7368893155302,0.403781903686832,"deleterious"
-5.72671068167873,0.406986349743767,"deleterious"
-5.71653204782727,0.410037405717107,"deleterious"
-5.70635341397581,0.41304163401467,"deleterious"
-5.69617478012434,0.415839405508948,"deleterious"
-5.68599614627288,0.418585938821354,"deleterious"
-5.67581751242142,0.421169129384114,"deleterious"
-5.66563887856995,0.423647595866528,"deleterious"
-5.65546024471849,0.426009613615824,"deleterious"
-5.64528161086703,0.428210842008262,"deleterious"
-5.63510297701556,0.430345822261526,"deleterious"
-5.6249243431641,0.432261914016449,"deleterious"
-5.61474570931264,0.434122754769276,"deleterious"
-5.60456707546117,0.435789148651007,"deleterious"
-5.59438844160971,0.43735660874129,"deleterious"
-5.58420980775825,0.438783071004045,"deleterious"
-5.57403117390678,0.440052577727644,"deleterious"
-5.56385254005532,0.4412364703167,"deleterious"
-5.55367390620386,0.442204911257699,"deleterious"
-5.54349527235239,0.443115898771639,"deleterious"
-5.53331663850093,0.443810218993092,"deleterious"
-5.52313800464947,0.444418417763333,"deleterious"
-5.512959370798,0.444867509679361,"deleterious"
-5.50278073694654,0.445173450346742,"deleterious"
-5.49260210309508,0.44537821544597,"deleterious"
-5.48242346924361,0.445383961285042,"deleterious"
-5.47224483539215,0.445332932854694,"deleterious"
-5.46206620154069,0.445055345602719,"deleterious"
-5.45188756768922,0.444709240048631,"deleterious"
-5.44170893383776,0.444195412215232,"deleterious"
-5.4315302999863,0.443559958915036,"deleterious"
-5.42135166613483,0.442814352243454,"deleterious"
-5.41117303228337,0.44189675851579,"deleterious"
-5.40099439843191,0.440924692105706,"deleterious"
-5.39081576458044,0.439733603870958,"deleterious"
-5.38063713072898,0.438492400612766,"deleterious"
-5.37045849687752,0.43708668394765,"deleterious"
-5.36027986302605,0.435585648886799,"deleterious"
-5.35010122917459,0.433974325265229,"deleterious"
-5.33992259532313,0.432225344744796,"deleterious"
-5.32974396147166,0.430416891639331,"deleterious"
-5.3195653276202,0.42843307579157,"deleterious"
-5.30938669376874,0.426406794793688,"deleterious"
-5.29920805991727,0.424232271346571,"deleterious"
-5.28902942606581,0.421990267934944,"deleterious"
-5.27885079221435,0.419648068424054,"deleterious"
-5.26867215836288,0.417206042168105,"deleterious"
-5.25849352451142,0.414707166712123,"deleterious"
-5.24831489065996,0.412081720848877,"deleterious"
-5.23813625680849,0.409423475206241,"deleterious"
-5.22795762295703,0.406646207579743,"deleterious"
-5.21777898910557,0.40382768475531,"deleterious"
-5.2076003552541,0.40092953683689,"deleterious"
-5.19742172140264,0.397969058258518,"deleterious"
-5.18724308755118,0.394962697672116,"deleterious"
-5.17706445369971,0.391879092324838,"deleterious"
-5.16688581984825,0.388773720248276,"deleterious"
-5.15670718599679,0.385589933613181,"deleterious"
-5.14652855214532,0.382386852413205,"deleterious"
-5.13634991829386,0.3791341903048,"deleterious"
-5.1261712844424,0.375852936934227,"deleterious"
-5.11599265059093,0.372544741503569,"deleterious"
-5.10581401673947,0.3692049260775,"deleterious"
-5.09563538288801,0.365854545936911,"deleterious"
-5.08545674903654,0.36247572585589,"deleterious"
-5.07527811518508,0.359093007521909,"deleterious"
-5.06509948133362,0.355698006691626,"deleterious"
-5.05492084748215,0.352301761230702,"deleterious"
-5.04474221363069,0.348904017086387,"deleterious"
-5.03456357977923,0.345513152435326,"deleterious"
-5.02438494592776,0.34212540163068,"deleterious"
-5.0142063120763,0.338758351143835,"deleterious"
-5.00402767822484,0.335398468650835,"deleterious"
-4.99384904437337,0.332067634675998,"deleterious"
-4.98367041052191,0.328754914040973,"deleterious"
-4.97349177667045,0.325470223615934,"deleterious"
-4.96331314281898,0.322221491147074,"deleterious"
-4.95313450896752,0.318994126612696,"deleterious"
-4.94295587511606,0.315825368322407,"deleterious"
-4.93277724126459,0.312673545207363,"deleterious"
-4.92259860741313,0.309592266988986,"deleterious"
-4.91241997356167,0.30654001728926,"deleterious"
-4.9022413397102,0.303546335175303,"deleterious"
-4.89206270585874,0.30060725790309,"deleterious"
-4.88188407200728,0.29771003333483,"deleterious"
-4.87170543815581,0.294896611179074,"deleterious"
-4.86152680430435,0.292108016815704,"deleterious"
-4.85134817045289,0.289427573280936,"deleterious"
-4.84116953660142,0.286779260333063,"deleterious"
-4.83099090274996,0.284217714265686,"deleterious"
-4.8208122688985,0.2817192443978,"deleterious"
-4.81063363504703,0.2792826141658,"deleterious"
-4.80045500119557,0.2769422691032,"deleterious"
-4.79027636734411,0.274635813528622,"deleterious"
-4.78009773349264,0.272460570527722,"deleterious"
-4.76991909964118,0.270317711034261,"deleterious"
-4.75974046578972,0.268284295808689,"deleterious"
-4.74956183193825,0.266313594861717,"deleterious"
-4.73938319808679,0.264421492671565,"deleterious"
-4.72920456423533,0.262626739858825,"deleterious"
-4.71902593038386,0.260878113182079,"deleterious"
-4.7088472965324,0.259261786325195,"deleterious"
-4.69866866268094,0.25767955748813,"deleterious"
-4.68849002882947,0.256221315867475,"deleterious"
-4.67831139497801,0.254818716835085,"deleterious"
-4.66813276112655,0.253505891253072,"deleterious"
-4.65795412727508,0.252282334901476,"deleterious"
-4.64777549342362,0.251114108616978,"deleterious"
-4.63759685957216,0.250067801416427,"deleterious"
-4.62741822572069,0.249054888764529,"deleterious"
-4.61723959186923,0.248170651538691,"deleterious"
-4.60706095801777,0.247330805512423,"deleterious"
-4.5968823241663,0.246584647273947,"deleterious"
-4.58670369031484,0.245913379832418,"deleterious"
-4.57652505646338,0.245301868072716,"deleterious"
-4.56634642261191,0.244793681405,"deleterious"
-4.55616778876045,0.244316041032011,"deleterious"
-4.54598915490899,0.243961265305774,"deleterious"
-4.53581052105752,0.24363800444462,"deleterious"
-4.52563188720606,0.243404282089367,"deleterious"
-4.5154532533546,0.243227763686751,"deleterious"
-4.50527461950313,0.24310959310389,"deleterious"
-4.49509598565167,0.243071428103382,"deleterious"
-4.48491735180021,0.243062889917868,"deleterious"
-4.47473871794874,0.243154017754505,"deleterious"
-4.46456008409728,0.243268079714744,"deleterious"
-4.45438145024582,0.243459587234774,"deleterious"
-4.44420281639435,0.243690054026678,"deleterious"
-4.43402418254289,0.243971350625841,"deleterious"
-4.42384554869143,0.244307888619188,"deleterious"
